GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.adapters,SchemaConverter,278,835,35,51,32,78,26,35,0,9
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.adapters,FlightSqlProducer,670,273,56,10,181,71,51,5,18,5
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.adapters,DuckDbAdapter.new InputFile() {...},22,0,0,0,3,0,3,0,3,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.adapters,DuckDbAdapter.new InputFile() {...},22,0,0,0,3,0,3,0,3,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.adapters,DuckDbAdapter.StreamChunk,0,12,0,0,0,1,0,1,0,1
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.adapters,ConfigAdapter,79,407,30,48,16,76,26,22,0,9
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.adapters,ParquetAdapter.new InputFile() {...},23,0,0,0,3,0,3,0,3,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client,Client,1421,0,128,0,255,0,110,0,46,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client,Configuration,143,263,7,13,48,56,29,16,24,11
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.query,QueryEndpoints,6,17,0,0,2,6,2,2,2,2
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.query,Endpoint,3,65,1,3,1,15,2,4,1,3
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.query,QueryStatement,4,118,2,26,0,14,2,15,0,3
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.query,PushAggregation,0,25,0,0,0,10,0,4,0,4
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.spark,FlightSessionCatalog,153,0,14,0,31,0,12,0,5,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.spark,FlightTable,340,0,22,0,41,0,34,0,23,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.spark,FlightSource,265,0,28,0,45,0,21,0,7,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.spark,FlightRelation.FlightRowIterator,99,0,14,0,32,0,13,0,6,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.spark,FlightRelation,257,0,20,0,56,0,27,0,17,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.model,HandleState,0,31,0,0,0,3,0,3,0,3
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.model,AppConfig,0,78,0,0,0,1,0,1,0,1
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.model,FileAssignment,0,9,0,0,0,1,0,1,0,1
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.write,WriteProtocol,0,15,0,0,0,3,0,1,0,1
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.write,WriteStatement.ConverterKey,9,0,0,0,1,0,1,0,1,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.write,PartitionBehavior.Bound,12,91,1,1,0,8,1,5,0,5
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.write,WriteStatement,1935,111,51,9,209,33,114,10,88,6
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.write,WriteBehavior,9,49,0,6,3,13,3,7,3,4
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.write,PartitionBehavior,10,487,15,33,4,46,14,32,0,22
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.services,MetadataService,685,577,52,31,139,134,56,34,25,22
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.services,ExecutionService,1131,392,151,68,223,86,99,43,16,15
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.services,ParquetQueryParser.JoinTable,0,12,0,0,0,1,0,1,0,1
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.services,ParquetQueryParser.SelectExpr,0,36,0,2,0,11,0,3,0,2
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.services,ParquetQueryParser.SelectExpr.AggFunc,0,39,0,0,0,1,0,1,0,1
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.services,ParquetQueryParser,71,949,19,89,18,216,22,50,4,14
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.services,QueryPlanner,431,389,43,31,87,77,31,29,7,16
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.services,ClusterService,104,407,12,20,24,87,12,25,6,15
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.model,Table.QueryParts,0,12,0,0,0,1,0,1,0,1
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.model,FieldType.ListType,0,21,0,0,0,8,0,4,0,4
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.model,RowSet.Row,0,20,0,0,0,6,0,3,0,3
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.model,TypeConversionHelper,809,258,95,2,73,46,80,8,27,7
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.model,Table,791,943,129,120,139,170,110,85,24,41
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.model,Field,25,61,1,5,2,15,4,9,3,7
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.model,FieldType.BinaryType,0,10,0,0,0,4,0,2,0,2
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.model,FieldType.DecimalType,0,16,0,0,0,6,0,3,0,3
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.model,FieldType.MapType,0,16,0,0,0,6,0,3,0,3
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.model,FieldVector,25,0,0,0,7,0,4,0,4,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.model,FieldType,105,531,24,74,11,91,17,70,0,21
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.model,FieldType.IDs,0,135,0,0,0,23,0,1,0,1
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.model,FieldType.UnionType,0,4,0,0,0,2,0,1,0,1
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.model,ArrowConversion,6089,0,378,0,615,0,427,0,238,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.model,FieldType.StructType,0,10,0,0,0,4,0,2,0,2
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.model,RowSet,3,41,0,2,1,11,1,5,1,4
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server,DaggerServerComponent.Builder,17,0,0,0,4,0,2,0,2,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server,HadoopArrowFlightServer.new MembershipAdapter() {...},19,0,0,0,5,0,2,0,2,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server,DaggerServerComponent.ServerComponentImpl,136,0,0,0,21,0,6,0,6,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server,ServerModule,150,0,0,0,32,0,14,0,14,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server,ServerModule.new AbstractExecutorService() {...},153,0,4,0,29,0,11,0,9,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server,LogUtil,133,91,17,9,27,24,15,10,4,8
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server,HadoopArrowFlightServer,487,159,30,20,117,32,25,11,6,5
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.metrics,MetricsService.QueryMetrics,0,30,0,0,0,6,0,1,0,1
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.metrics,MetricsService,29,515,13,13,7,114,11,22,0,20
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.server.metrics,MetricsService.QueryObservation,1,93,3,5,1,23,3,5,0,4
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.spark.write,FlightDataWriter,327,0,16,0,63,0,19,0,11,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.spark.write,FlightDataWriterFactory,110,0,6,0,18,0,7,0,4,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.spark.write,FlightWriteBuilder,32,0,0,0,9,0,3,0,3,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.spark.write,FlightWriterCommitMessage,0,107,1,3,0,20,1,5,0,4
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.spark.write,FlightWrite,165,0,8,0,28,0,21,0,17,0
Hadoop Arrow Flight SQL Server,net.surpin.data.arrowflight.client.spark.write,FlightWriteAbortException,0,59,0,0,0,6,0,4,0,4
